"date","home.team","home.score","away.team","away.score"
"19/04/18","Sociedad",12,"Ath Madrid",9
"20/04/18","Leganes",13,"La Coruna",12
"21/04/18","Celta",10,"Valencia",17
"21/04/18","Eibar",12,"Getafe",7
"22/04/18","Ath Madrid",10,"Betis",10
"22/04/18","Girona",20,"Espanol",5
"22/04/18","Las Palmas",12,"Alaves",10
"22/04/18","Malaga",4,"Sociedad",14
"23/04/18","Ath Bilbao",18,"Levante",11
"27/04/18","Levante",15,"Sevilla",22
"28/04/18","Espanol",16,"Las Palmas",13
"28/04/18","Real Madrid",12,"Leganes",16
"28/04/18","Sociedad",17,"Ath Bilbao",9
"28/04/18","Villarreal",13,"Celta",15
"29/04/18","Alaves",7,"Ath Madrid",14
"29/04/18","Getafe",10,"Girona",15
"29/04/18","La Coruna",17,"Barcelona",21
"29/04/18","Valencia",16,"Eibar",8
"30/04/18","Betis",12,"Malaga",9
"04/05/18","Sevilla",16,"Sociedad",11
"05/05/18","Ath Bilbao",14,"Betis",6
"05/05/18","Celta",13,"La Coruna",11
"05/05/18","Girona",16,"Eibar",15
"05/05/18","Villarreal",13,"Valencia",6
"06/05/18","Ath Madrid",9,"Espanol",14
"06/05/18","Barcelona",11,"Real Madrid",17
"06/05/18","Las Palmas",21,"Getafe",8
"06/05/18","Malaga",16,"Alaves",13
"07/05/18","Leganes",13,"Levante",10
"09/05/18","Barcelona",12,"Villarreal",20
"09/05/18","Sevilla",14,"Real Madrid",14
"12/05/18","Alaves",4,"Ath Bilbao",13
"12/05/18","Betis",9,"Sevilla",13
"12/05/18","Eibar",10,"Las Palmas",8
"12/05/18","Getafe",11,"Ath Madrid",5
"12/05/18","Girona",16,"Valencia",10
"12/05/18","La Coruna",16,"Villarreal",11
"12/05/18","Real Madrid",15,"Celta",5
"12/05/18","Sociedad",11,"Leganes",9
"13/05/18","Espanol",19,"Malaga",9
"13/05/18","Levante",12,"Barcelona",18
"19/05/18","Celta",20,"Levante",7
"19/05/18","Las Palmas",13,"Girona",12
"19/05/18","Leganes",8,"Betis",16
"19/05/18","Malaga",6,"Getafe",11
"19/05/18","Sevilla",20,"Alaves",10
"19/05/18","Villarreal",14,"Real Madrid",15
"20/05/18","Ath Bilbao",12,"Espanol",11
"20/05/18","Ath Madrid",8,"Eibar",14
"20/05/18","Barcelona",12,"Sociedad",13
"20/05/18","Valencia",22,"La Coruna",12
"17/08/2018","Betis",22,"Levante",6
"17/08/2018","Girona",13,"Valladolid",2
"18/08/2018","Barcelona",25,"Alaves",3
"18/08/2018","Celta",12,"Espanol",14
"18/08/2018","Villarreal",16,"Sociedad",8
"19/08/2018","Eibar",18,"Huesca",8
"19/08/2018","Real Madrid",10,"Getafe",4
"19/08/2018","Vallecano",13,"Sevilla",17
"20/08/2018","Ath Bilbao",17,"Leganes",12
"20/08/2018","Valencia",13,"Ath Madrid",9
"24/08/2018","Getafe",7,"Eibar",9
"24/08/2018","Leganes",18,"Sociedad",7
"25/08/2018","Alaves",16,"Betis",13
"25/08/2018","Ath Madrid",9,"Vallecano",13
"25/08/2018","Valladolid",7,"Barcelona",10
"26/08/2018","Espanol",19,"Valencia",16
"26/08/2018","Girona",10,"Real Madrid",20
"26/08/2018","Sevilla",19,"Villarreal",14
"27/08/2018","Ath Bilbao",14,"Huesca",9
"27/08/2018","Levante",15,"Celta",21
"31/08/2018","Eibar",8,"Sociedad",7
"31/08/2018","Getafe",12,"Valladolid",7
"31/08/2018","Villarreal",13,"Girona",14
"01/09/2018","Celta",10,"Ath Madrid",9
"01/09/2018","Real Madrid",17,"Leganes",8
"02/09/2018","Alaves",8,"Espanol",11
"02/09/2018","Barcelona",31,"Huesca",7
"02/09/2018","Betis",11,"Sevilla",8
"02/09/2018","Levante",13,"Valencia",18
"14/09/2018","Huesca",14,"Vallecano",14
"15/09/2018","Ath Bilbao",11,"Real Madrid",16
"15/09/2018","Ath Madrid",18,"Eibar",12
"15/09/2018","Sociedad",8,"Barcelona",12
"15/09/2018","Valencia",12,"Betis",11
"16/09/2018","Espanol",22,"Levante",16
"16/09/2018","Leganes",16,"Villarreal",9
"16/09/2018","Sevilla",15,"Getafe",10
"16/09/2018","Valladolid",15,"Alaves",10
"17/09/2018","Girona",11,"Celta",20
"21/09/2018","Huesca",13,"Sociedad",7
"22/09/2018","Celta",12,"Valladolid",14
"22/09/2018","Eibar",14,"Leganes",4
"22/09/2018","Getafe",11,"Ath Madrid",7
"22/09/2018","Real Madrid",19,"Espanol",10
"22/09/2018","Vallecano",13,"Alaves",11
"23/09/2018","Barcelona",22,"Girona",7
"23/09/2018","Betis",15,"Ath Bilbao",7
"23/09/2018","Levante",19,"Sevilla",20
"23/09/2018","Villarreal",11,"Valencia",12
"25/09/2018","Ath Madrid",17,"Huesca",8
"25/09/2018","Espanol",9,"Eibar",8
"25/09/2018","Sociedad",16,"Vallecano",11
"26/09/2018","Ath Bilbao",12,"Villarreal",19
"26/09/2018","Leganes",10,"Barcelona",9
"26/09/2018","Sevilla",16,"Real Madrid",21
"26/09/2018","Valencia",14,"Celta",9
"27/09/2018","Alaves",15,"Getafe",13
"27/09/2018","Girona",8,"Betis",14
"27/09/2018","Valladolid",20,"Levante",9
"28/09/2018","Vallecano",11,"Espanol",12
"29/09/2018","Barcelona",20,"Ath Bilbao",8
"29/09/2018","Eibar",15,"Sevilla",7
